"objectid","common_name","longitude","latitude"
214,"Kwanzan Cherry",-76.9971066262697,38.9513254222305
215,"Kwanzan Cherry",-76.9961606339061,38.9513253952508
216,"Snowgoose Cherry",-77.0219674768176,38.9503595080849
217,"Cherry Spp.",-77.0327777513921,38.9519334250875
218,"Yoshino Cherry",-77.0114581342854,38.9519915087012
219,"Snowgoose Cherry",-76.9948109259834,38.9504695572243
220,"Snowgoose Cherry",-76.9803567468663,38.9472881002657
221,"Okame Cherry",-77.0174444696865,38.9472434066579
222,"Cherry Spp.",-77.0256810680268,38.9472779199401
223,"Cherry Spp.",-77.063832989201,38.9505062936306
224,"Cherry Spp.",-77.0631624834618,38.9489302092618
225,"Snowgoose Cherry",-77.0195100892192,38.9498194481091
226,"Okame Cherry",-76.9872557151791,38.9442983050228
227,"Kwanzan Cherry",-77.0295119668038,38.9496912344629
228,"Yoshino Cherry",-76.9884318467523,38.9472261198896
229,"Snowgoose Cherry",-77.0681122467827,38.9497381754764
230,"Kwanzan Cherry",-77.0083542555444,38.9474516006109
231,"Okame Cherry",-76.9803801085552,38.9462341343978
232,"Kwanzan Cherry",-76.9867020178838,38.9442982438689
233,"Chokecherry",-76.993346194771,38.9463346830992
234,"Snowgoose Cherry",-77.005239339424,38.9442988823876
235,"Yoshino Cherry",-77.019451328416,38.9458648224037
236,"Kwanzan Cherry",-76.9964491678948,38.9488841612751
237,"Snowgoose Cherry",-77.0254274789949,38.9478364888629
238,"Chokecherry",-77.0675791205799,38.9471440999203
239,"Yoshino Cherry",-77.0305828723017,38.9451147527437
240,"Snowgoose Cherry",-77.0723432116698,38.9469430663694
241,"Snowgoose Cherry",-77.0344584098277,38.9443119369464
242,"Chokecherry",-77.036824126832,38.946184938784
243,"Cherry Spp.",-77.0049855066758,38.9435241802967
244,"Kwanzan Cherry",-77.0754644689101,38.9422747989429
245,"Yoshino Cherry",-77.0260263213576,38.9450257729211
246,"Cherry Spp.",-77.0244467089484,38.9472061189672
247,"Kwanzan Cherry",-77.0053431032016,38.9435782142633
248,"Cherry Spp.",-77.0135907398208,38.9432532478391
249,"Chokecherry",-77.0372152293993,38.9440588596287
250,"Kwanzan Cherry",-77.0556360770433,38.9427002996791
251,"Yoshino Cherry",-77.0187705632109,38.9452433620916
252,"Cherry Spp.",-77.0396036309028,38.9451210524946
253,"Kwanzan Cherry",-77.0723518487588,38.9440874337881
254,"Okame Cherry",-77.0392557605448,38.9418421530929
255,"Chokecherry",-76.9823655895003,38.9407934455611
256,"Kwanzan Cherry",-77.0562469253553,38.9420514109439
257,"Snowgoose Cherry",-77.0331182113363,38.9397991703955
258,"Kwanzan Cherry",-77.0779978375301,38.9383094856943
259,"Yoshino Cherry",-77.0370756429265,38.9418248483381
260,"Chokecherry",-76.9778793106816,38.9383604430801
261,"Okame Cherry",-76.9922279057932,38.9401549278077
262,"Okame Cherry",-76.9861724269159,38.9389562655193
263,"Chokecherry",-76.9783865732817,38.9391893014451
264,"Chokecherry",-77.0780326484879,38.9384986374022
265,"Okame Cherry",-77.0664613181353,38.9360285064105
266,"Okame Cherry",-77.0223561889869,38.9391261024877
267,"Snowgoose Cherry",-77.077303078874,38.9358236561368
268,"Kwanzan Cherry",-77.0744544205351,38.9360507133698
269,"Kwanzan Cherry",-77.0685860905756,38.9386396861726
270,"Snowgoose Cherry",-77.0235783748421,38.9376935436222
271,"Kwanzan Cherry",-77.0708220093283,38.9368637175866
272,"Yoshino Cherry",-77.067454445766,38.9372981081212
273,"Yoshino Cherry",-77.0776051098879,38.9377962740788
274,"Yoshino Cherry",-77.0690798453585,38.936342278973
275,"Kwanzan Cherry",-76.9893908127358,38.9371999839921
276,"Kwanzan Cherry",-77.0685863243993,38.938882910518
277,"Chokecherry",-76.9725162288408,38.9372873180553
278,"Yoshino Cherry",-77.0611332972638,38.9368421617364
279,"Snowgoose Cherry",-76.9705217357894,38.9350437649578
280,"Yoshino Cherry",-77.0709449583431,38.9329180059612
281,"Kwanzan Cherry",-76.9765196373713,38.9341533012339
282,"Yoshino Cherry",-77.0708310816891,38.9343864288906
283,"Kwanzan Cherry",-76.976946384568,38.9341533866695
284,"Okame Cherry",-77.0558728991149,38.9357908236876
285,"Yoshino Cherry",-77.0708187519838,38.9335846967764
286,"Snowgoose Cherry",-77.0014901161759,38.933245811545
287,"Yoshino Cherry",-77.0675676704116,38.9350639835161
288,"Okame Cherry",-76.962184885524,38.9310236605136
289,"Snowgoose Cherry",-77.0315577778691,38.9324398211409
290,"Kwanzan Cherry",-77.0324223645005,38.9315117279839
291,"Cherry Spp.",-76.9961041043209,38.9302189642339
292,"Okame Cherry",-77.0701142266902,38.9325942077565
293,"Cherry Spp.",-77.070955801469,38.9322243588671
294,"Chokecherry",-77.0697681342919,38.9325043322092
295,"Chokecherry",-76.9795537431107,38.9315774963044
296,"Okame Cherry",-76.9862543668455,38.9327405481378
297,"Cherry Spp.",-76.9834636680138,38.9309925745477
298,"Kwanzan Cherry",-76.9852752569475,38.9267499013869
299,"Kwanzan Cherry",-77.0618509220823,38.926437186427
300,"Kwanzan Cherry",-76.9865092491026,38.9266869920111
301,"Cherry Spp.",-76.9754967205972,38.923721465873
302,"Kwanzan Cherry",-76.9863821641056,38.9278760756204
303,"Snowgoose Cherry",-76.9690486903447,38.9274673958037
304,"Okame Cherry",-76.9788740633872,38.9289289317249
305,"Chokecherry",-76.9923675219436,38.9289486088912
306,"Chokecherry",-76.9621173950017,38.927807671387
307,"Yoshino Cherry",-77.0633182496375,38.9294812116886
308,"Kwanzan Cherry",-76.9861861083022,38.9278760522381
309,"Chokecherry",-76.986105230472,38.9286417494172
